Fecha       Licencia    Placa          Infraccion      Monto     Descuento  Puntos    Meses Susp
2019/03/08  69252518    Y0Y-415        MUY GRAVE       474.00      0.00       500         0
2019/03/09  81799482    E3U-768        GRAVE           316.00      0.25       100         0
2019/03/10  12270502    Y5F-449        GRAVE           316.00      0.25       100         0
2019/03/11  70414420    U5T-348        GRAVE           316.00      0.25       100         0
2019/03/11  81528434    B3U-020        MUY GRAVE       474.00      0.00       500         0
2019/03/11  50200823    R0P-255        GRAVE           316.00      0.25       100         0
2019/03/12  69252518    P7I-760        GRAVE           316.00      0.25       100         0
2019/03/13  64532449    X3Z-285        GRAVE           316.00      0.25       100         0
2019/03/13  60784914    A8J-929        LEVE            158.00      0.50         0         0
2019/03/14  38862473    K3B-165        MUY GRAVE       474.00      0.00       500         0
2019/03/14  42956681    L8Z-555        GRAVE           316.00      0.25       100         0
2019/03/15  53374153    G6I-762        GRAVE           316.00      0.25       200         0
2019/03/16  24859596    B8B-326        MUY GRAVE      1975.00      0.00       800         3
2019/03/17  73972114    J2M-606        MUY GRAVE       711.00      0.00       600         1
2019/03/17  43454884    P6Z-734        MUY GRAVE       711.00      0.00       600         1
2019/03/18  64178096    I0X-469        MUY GRAVE       474.00      0.00       500         0
2019/03/18  54141214    G2I-709        GRAVE           316.00      0.25       100         0
2019/03/18  73567806    Q9D-870        MUY GRAVE      1975.00      0.00       600         1
2019/03/18  27864822    T9U-338        LEVE            158.00      0.50         0         0
2019/03/18  63736112    T9A-930        GRAVE           316.00      0.25       100         0
2019/03/19  77763722    D1M-667        MUY GRAVE      3950.00      0.00       100         6
2019/03/19  15029228    J0Q-121        GRAVE           316.00      0.25       100         0
2019/03/20  52003695    H8S-849        GRAVE           316.00      0.25       100         0
2019/03/20  79641328    B4R-105        MUY GRAVE      3950.00      0.00      1000         6
2019/03/21  13219606    N1O-921        GRAVE           316.00      0.25       100         0
2019/03/21  25518120    F2C-703        GRAVE           316.00      0.25       200         0
2019/03/22  42956681    A6D-661        MUY GRAVE       711.00      0.00       600         1
2019/03/23  35912665    O2Z-308        GRAVE           316.00      0.25       100         0
2019/03/23  85501710    Z4K-431        MUY GRAVE       474.00      0.00       500         0
2019/03/25  15559308    S3L-803        GRAVE           316.00      0.25       100         0
2019/03/25  48878256    Z4L-514        MUY GRAVE       474.00      0.00       500         0
2019/03/27  34976629    J8B-303        GRAVE           316.00      0.25       100         0
2019/03/27  47528229    I4H-529        GRAVE           316.00      0.25       100         0
2019/03/30  27864822    T9U-338        MUY GRAVE       474.00      0.00       500         0
2019/03/30  79672079    O3H-954        MUY GRAVE       474.00      0.00       500         0
2019/04/01  25518120    E1J-798        GRAVE           316.00      0.25       100         0
2019/04/03  80457845    M7F-612        GRAVE           316.00      0.25       100         0
2019/04/04  89941095    R8O-904        GRAVE           316.00      0.25       100         0
2019/04/05  82031355    H6X-124        GRAVE           316.00      0.25       100         0
2019/04/05  15559308    S3L-803        MUY GRAVE       474.00      0.00       500         0
2019/04/06  84186239    W9Y-717        GRAVE           316.00      0.25       100         0
2019/04/07  15115705    N9Q-814        GRAVE           316.00      0.25       100         0
2019/04/07  29833157    S2N-896        GRAVE           316.00      0.25       100         0
2019/04/08  35297848    O7D-970        GRAVE           316.00      0.25       100         0
2019/04/08  32244565    J1E-736        GRAVE           316.00      0.25       100         0
2019/04/11  84186239    T6W-978        GRAVE           316.00      0.25       100         0
2019/04/11  45043076    R1T-735        MUY GRAVE       711.00      0.00       600         1
2019/04/13  80310768    N5J-515        MUY GRAVE       474.00      0.00       500         0
2019/04/15  73567806    A7Y-833        MUY GRAVE      5925.00      0.00      2000         6
2019/04/16  63736112    K0D-676        GRAVE           316.00      0.25       100         0
2019/04/18  67185679    F1F-571        GRAVE           316.00      0.25       100         0
2019/04/19  73567806    Q9D-870        GRAVE           316.00      0.25       100         0
2019/04/19  35671623    V4E-749        GRAVE           316.00      0.25       100         0
2019/04/20  29833157    I9F-484        GRAVE           316.00      0.25       100         0
2019/04/20  54141214    J7Y-327        GRAVE           316.00      0.25       100         0
2019/04/22  82031355    H6X-124        GRAVE           316.00      0.25       100         0
2019/04/22  53853385    T9X-217        MUY GRAVE      1975.00      0.00       800         3
2019/04/22  36079131    I0W-872        LEVE            158.00      0.50         0         0
2019/04/25  35912665    O2Z-308        GRAVE           316.00      0.25       100         0
2019/04/26  96693273    C0G-556        GRAVE           316.00      0.25       100         0
2019/04/29  32244565    M8W-853        MUY GRAVE       474.00      0.00       500         0
2019/04/30  96693273    C0G-556        GRAVE           316.00      0.25       100         0
2019/04/30  36079131    I0W-872        GRAVE           316.00      0.25       200         0
2019/05/01  81799482    V7P-711        GRAVE           316.00      0.25       100         0
2019/05/01  60784914    A8J-929        GRAVE           316.00      0.25       100         0
2019/05/02  75945248    K6X-977        MUY GRAVE       474.00      0.00       500         0
2019/05/02  77763722    W2L-827        GRAVE           316.00      0.25       200         0
2019/05/03  51395324    M4Z-108        GRAVE           316.00      0.25       200         0
2019/05/03  73567806    E2D-493        MUY GRAVE      3950.00      0.00      1000         6
2019/05/03  48878256    G2R-979        MUY GRAVE       474.00      0.00       500         0
2019/05/03  27864822    S3D-133        GRAVE           316.00      0.25       100         0
2019/05/04  71578206    Y9F-491        GRAVE           316.00      0.25       100         0
2019/05/05  88167677    O0C-616        MUY GRAVE       474.00      0.00       500         0
2019/05/05  80457845    Z5G-762        GRAVE           316.00      0.25       100         0
2019/05/06  52002275    C0S-417        MUY GRAVE       474.00      0.00       500         0
2019/05/09  19568447    O7W-705        GRAVE           316.00      0.25       100         0
2019/05/10  96693273    A6K-820        MUY GRAVE       948.00      0.00       600         1
2019/05/10  87495937    Z8C-558        GRAVE           316.00      0.25       200         0
2019/05/13  75945248    K6X-977        GRAVE           316.00      0.25       100         0
2019/05/13  90467829    H1R-953        MUY GRAVE       948.00      0.00       600         1
2019/05/13  32244565    K4F-319        GRAVE           316.00      0.25       100         0
2019/05/14  38862473    S6Y-726        MUY GRAVE       948.00      0.00       600         1
2019/05/14  16925690    F3F-478        MUY GRAVE       474.00      0.00       500         0
2019/05/14  34248357    R7N-062        MUY GRAVE      3950.00      0.00       100         6
2019/05/15  80310768    M1E-751        LEVE            158.00      0.50         0         0
2019/05/15  26522329    W7R-114        MUY GRAVE       948.00      0.00       600         1
2019/05/15  38862473    K3B-165        MUY GRAVE       474.00      0.00       500         0
2019/05/16  87495937    M5G-669        GRAVE           316.00      0.25       200         0
2019/05/18  66849703    B4N-777        LEVE            158.00      0.50         0         0
2019/05/18  48878256    G2R-979        GRAVE           316.00      0.25       100         0
2019/05/19  79641328    X8Q-687        GRAVE           316.00      0.25       100         0
2019/05/19  66849703    J2F-853        GRAVE           316.00      0.25       100         0
2019/05/20  35683701    D5W-953        GRAVE           316.00      0.25       200         0
2019/05/21  73357516    E6R-293        GRAVE           316.00      0.25       100         0
2019/05/21  16136330    E3U-231        MUY GRAVE      5925.00      0.00      2000         6
2019/05/21  53853385    T9X-217        GRAVE           316.00      0.25       200         0
2019/05/22  49927087    G7B-252        GRAVE           316.00      0.25       100         0
2019/05/22  29833157    I9F-484        GRAVE           316.00      0.25       100         0
2019/05/23  53853385    R6P-267        GRAVE           316.00      0.25       100         0
2019/05/24  34248357    S5E-231        GRAVE           316.00      0.25       100         0
2019/05/26  80457845    M7F-612        GRAVE           316.00      0.25       100         0
2019/05/26  75348522    P5B-640        GRAVE           316.00      0.25       100         0
2019/05/27  73357516    E6R-293        GRAVE           316.00      0.25       100         0
2019/05/28  99950484    Y6I-680        GRAVE           316.00      0.25       100         0
2019/05/28  96693273    B9X-420        GRAVE           316.00      0.25       200         0
2019/05/30  96693273    B9X-420        MUY GRAVE       474.00      0.00       500         0
2019/05/30  15029228    N0Z-560        LEVE            158.00      0.50         0         0
2019/05/31  88167677    O0C-616        GRAVE           316.00      0.25       100         0
2019/05/31  74325123    V9F-655        GRAVE           316.00      0.25       100         0
2019/05/31  50201756    K5K-595        LEVE            158.00      0.50         0         0
2019/06/01  49927087    X3E-271        GRAVE           316.00      0.25       100         0
2019/06/01  16477908    X9D-758        GRAVE           316.00      0.25       100         0
2019/06/02  88167677    V7U-622        GRAVE           316.00      0.25       100         0
2019/06/03  80457845    M7F-612        GRAVE           316.00      0.25       200         0
2019/06/03  16925690    R7N-113        GRAVE           316.00      0.25       100         0
2019/06/05  21621497    W5W-525        GRAVE           316.00      0.25       100         0
2019/06/05  64532449    V4I-691        GRAVE           316.00      0.25       100         0
2019/06/06  39544560    Y0K-784        GRAVE           316.00      0.25       100         0
2019/06/07  19963454    D9A-711        GRAVE           316.00      0.25       100         0
2019/06/08  24859596    L6D-758        MUY GRAVE       474.00      0.00       500         0
2019/06/08  12858682    T5L-371        GRAVE           316.00      0.25       200         0
2019/06/08  30046639    S3F-021        GRAVE           316.00      0.25       100         0
2019/06/10  73972114    D8H-157        MUY GRAVE      3950.00      0.00       100         6
2019/06/10  27864822    R5C-239        GRAVE           316.00      0.25       200         0
2019/06/10  82870470    C4O-436        GRAVE           316.00      0.25       100         0
2019/06/11  81799482    V7P-711        GRAVE           316.00      0.25       100         0
2019/06/12  26522329    W7R-114        MUY GRAVE       474.00      0.00       500         0
2019/06/12  36079131    H5S-788        GRAVE           316.00      0.25       200         0
2019/06/12  79672079    Y3Q-331        MUY GRAVE       948.00      0.00       600         1
2019/06/12  88167677    Y4Y-028        GRAVE           316.00      0.25       100         0
2019/06/13  88167677    B4C-100        MUY GRAVE       474.00      0.00       500         0
2019/06/14  68310808    X6M-077        GRAVE           316.00      0.25       100         0
2019/06/15  26522329    U7R-252        GRAVE           316.00      0.25       100         0
2019/06/16  54447051    D5W-773        GRAVE           316.00      0.25       100         0
2019/06/17  87282766    S1D-093        GRAVE           316.00      0.25       100         0
2019/06/17  86718074    Q6I-941        LEVE            158.00      0.50         0         0
2019/06/19  31107104    O3T-110        MUY GRAVE      3950.00      0.00      1000         6
2019/06/19  85501710    Z4K-431        GRAVE           316.00      0.25       100         0
2019/06/19  89314225    C3A-423        MUY GRAVE       474.00      0.00       500         0
2019/06/20  53374153    V7L-069        GRAVE           316.00      0.25       100         0
2019/06/21  34248357    U0T-459        GRAVE           316.00      0.25       100         0
2019/06/21  24859596    B8B-326        MUY GRAVE       948.00      0.00       600         1
2019/06/21  71578206    G7Z-721        GRAVE           316.00      0.25       100         0
2019/06/23  49428502    C0A-114        MUY GRAVE         0.00      0.00      2000        12
2019/06/24  48450395    H6H-085        MUY GRAVE       474.00      0.00       500         0
2019/06/25  36079131    I0W-872        MUY GRAVE      3950.00      0.00      1000         6
2019/06/25  73357516    G0B-604        MUY GRAVE       474.00      0.00       500         0
2019/06/25  68310808    X6M-077        GRAVE           316.00      0.25       100         0
2019/06/25  27268323    L6Z-161        GRAVE           316.00      0.25       100         0
2019/06/26  69252518    Y0Y-415        GRAVE           316.00      0.25       100         0
2019/06/26  79766395    N6D-256        GRAVE           316.00      0.25       100         0
2019/06/27  12858682    T5L-371        MUY GRAVE         0.00      0.00      2000        12
2019/06/28  87282766    S1D-093        GRAVE           316.00      0.25       100         0
2019/06/28  71832810    T1K-210        GRAVE           316.00      0.25       100         0
2019/06/29  73567806    W9Z-281        MUY GRAVE       474.00      0.00       500         0
2019/06/29  79641328    L0L-653        GRAVE           316.00      0.25       200         0
2019/06/29  47528229    G8O-154        LEVE            158.00      0.50         0         0
2019/06/30  54447051    G3Y-654        LEVE            158.00      0.50         0         0
2019/06/30  13219606    N1O-921        GRAVE           316.00      0.25       100         0
2019/07/01  80457845    Z5G-762        GRAVE           316.00      0.25       100         0
2019/07/02  88854166    H3E-885        GRAVE           316.00      0.25       200         0
2019/07/02  48878256    W6Z-142        GRAVE           316.00      0.25       100         0
2019/07/02  79641328    X8Q-687        GRAVE           316.00      0.25       100         0
2019/07/02  85501710    Z4K-431        GRAVE           316.00      0.25       100         0
2019/07/04  13219606    M2Q-712        GRAVE           316.00      0.25       100         0
2019/07/05  43454884    G0F-080        MUY GRAVE      1975.00      0.00       600         1
2019/07/06  16925690    F3F-478        GRAVE           316.00      0.25       100         0
2019/07/08  50200823    Q6C-943        GRAVE           316.00      0.25       100         0
2019/07/09  69252518    Y0Y-415        GRAVE           316.00      0.25       200         0
2019/07/10  42956681    E0L-862        GRAVE           316.00      0.25       100         0
2019/07/11  16925690    F3F-478        MUY GRAVE       474.00      0.00       500         0
2019/07/12  70414420    U5T-348        GRAVE           316.00      0.25       100         0
2019/07/12  34248357    U0T-459        MUY GRAVE       474.00      0.00       500         0
2019/07/12  47528229    I4H-529        GRAVE           316.00      0.25       100         0
2019/07/13  38862473    S6Y-726        MUY GRAVE       474.00      0.00       500         0
2019/07/14  71832810    T1K-210        LEVE            158.00      0.50         0         0
2019/07/14  81485316    F1O-596        MUY GRAVE         0.00      0.00      2000        12
2019/07/15  30441350    X0F-315        GRAVE           316.00      0.25       100         0
2019/07/16  48450395    G1P-591        GRAVE           316.00      0.25       100         0
2019/07/17  79641328    X8Q-687        MUY GRAVE       474.00      0.00       500         0
2019/07/18  27864822    T9U-338        MUY GRAVE       474.00      0.00       500         0
2019/07/21  29989682    W3T-571        LEVE            158.00      0.50         0         0
2019/07/22  35912665    O2Z-308        GRAVE           316.00      0.25       200         0
2019/07/22  26522329    W7R-114        MUY GRAVE      5925.00      0.00      2000         6
2019/07/23  52002275    C0S-417        MUY GRAVE       474.00      0.00       500         0
2019/07/24  69252518    P7I-760        GRAVE           316.00      0.25       100         0
2019/07/24  12270502    P7T-999        GRAVE           316.00      0.25       100         0
2019/07/26  85501710    Z4K-431        GRAVE           316.00      0.25       100         0
2019/07/26  73567806    E2D-493        MUY GRAVE       711.00      0.00       600         1
2019/07/27  12443643    R8H-409        GRAVE           316.00      0.25       100         0
2019/07/27  89941095    P6T-244        MUY GRAVE       474.00      0.00       500         0
2019/07/29  32244565    W9L-468        GRAVE           316.00      0.25       100         0
2019/07/29  50201756    K5K-595        GRAVE           316.00      0.25       100         0
2019/08/01  42956681    L8Z-555        GRAVE           316.00      0.25       100         0
2019/08/03  32244565    K4F-319        GRAVE           316.00      0.25       100         0
2019/08/05  54447051    U5L-205        MUY GRAVE       474.00      0.00       500         0
2019/08/06  99950484    L8A-167        GRAVE           316.00      0.25       100         0
2019/08/06  48878256    W6Z-142        MUY GRAVE      1975.00      0.00       800         3
2019/08/08  34976629    I0Y-720        GRAVE           316.00      0.25       100         0
2019/08/08  77763722    A1Q-612        MUY GRAVE      5925.00      0.00      2000         6
2019/08/09  87495937    L2H-207        GRAVE           316.00      0.25       100         0
2019/08/09  73357516    J2K-636        MUY GRAVE       474.00      0.00       500         0
2019/08/09  16925690    B4I-014        GRAVE           316.00      0.25       100         0
2019/08/10  67185679    I2P-193        GRAVE           316.00      0.25       100         0
2019/08/10  42956681    L8Z-555        MUY GRAVE       948.00      0.00       600         1
2019/08/10  79766395    H7P-047        GRAVE           316.00      0.25       100         0
2019/08/11  49927087    X3E-271        GRAVE           316.00      0.25       100         0
2019/08/12  84186239    W9Y-717        MUY GRAVE       474.00      0.00       500         0
2019/08/14  32244565    J1E-736        GRAVE           316.00      0.25       200         0
2019/08/14  47528229    I4H-529        MUY GRAVE       948.00      0.00       600         1
2019/08/14  60784914    P4Y-758        GRAVE           316.00      0.25       100         0
2019/08/16  74325123    C2V-710        MUY GRAVE      1975.00      0.00       800         3
2019/08/18  36079131    I0W-872        MUY GRAVE       474.00      0.00       500         0
2019/08/18  87495937    L2H-207        GRAVE           316.00      0.25       200         0
2019/08/20  79766395    N6D-256        MUY GRAVE       474.00      0.00       500         0
2019/08/20  48878256    G2R-979        MUY GRAVE       474.00      0.00       500         0
2019/08/21  53374153    V7L-069        GRAVE           316.00      0.25       100         0
2019/08/24  88854166    L3N-150        MUY GRAVE       474.00      0.00       500         0
2019/08/24  38862473    S6Y-726        MUY GRAVE       474.00      0.00       500         0
2019/08/25  79672079    O3H-954        GRAVE           316.00      0.25       100         0
2019/08/26  38862473    I4B-541        MUY GRAVE       948.00      0.00       600         1
2019/08/27  16925690    B4I-014        GRAVE           316.00      0.25       100         0
2019/08/30  81485316    E1N-544        GRAVE           316.00      0.25       100         0
2019/08/31  81485316    E1N-544        GRAVE           316.00      0.25       100         0
2019/08/31  89941095    P6N-119        GRAVE           316.00      0.25       100         0
2019/08/31  48878256    Z4L-514        MUY GRAVE       474.00      0.00       500         0
2019/09/01  53853385    O5L-856        GRAVE           316.00      0.25       100         0
2019/09/01  77763722    Q4P-612        MUY GRAVE       474.00      0.00       500         0
2019/09/01  30441350    Q6Q-335        GRAVE           316.00      0.25       100         0
2019/09/02  15559308    S3L-803        GRAVE           316.00      0.25       100         0
2019/09/02  71832810    W1C-444        GRAVE           316.00      0.25       100         0
2019/09/02  73357516    G0B-604        MUY GRAVE         0.00      0.00      2000        12
2019/09/03  53374153    V7L-069        GRAVE           316.00      0.25       100         0
2019/09/03  47528229    T8Y-354        GRAVE           316.00      0.25       100         0
2019/09/03  96693273    C0G-556        GRAVE           316.00      0.25       100         0
2019/09/03  50200823    Q6C-943        GRAVE           316.00      0.25       100         0
2019/09/04  44346371    S4J-282        MUY GRAVE       474.00      0.00       500         0
2019/09/04  13219606    T3B-722        GRAVE           316.00      0.25       100         0
2019/09/05  88167677    B4C-100        GRAVE           316.00      0.25       100         0
2019/09/05  50200823    R0P-255        MUY GRAVE       474.00      0.00       500         0
2019/09/05  53374153    R2T-476        GRAVE           316.00      0.25       200         0
2019/09/06  88167677    V7U-622        GRAVE           316.00      0.25       100         0
2019/09/06  30046639    S3F-021        MUY GRAVE      1975.00      0.00       600         1
2019/09/07  79672079    Y3Q-331        GRAVE           316.00      0.25       100         0
2019/09/08  64532449    J0V-437        GRAVE           316.00      0.25       100         0
2019/09/10  35912665    A6E-125        MUY GRAVE      3950.00      0.00      1000         6
2019/09/12  74325123    H0E-855        GRAVE           316.00      0.25       100         0
2019/09/13  71832810    Q3M-512        GRAVE           316.00      0.25       100         0
2019/09/13  71578206    Y9F-491        MUY GRAVE       711.00      0.00       600         1
2019/09/14  47844324    X7J-719        GRAVE           316.00      0.25       200         0
2019/09/15  50201756    K5K-595        GRAVE           316.00      0.25       100         0
2019/09/15  38862473    I4B-541        MUY GRAVE         0.00      0.00      2000        12
2019/09/15  52002275    C0S-417        GRAVE           316.00      0.25       100         0
2019/09/16  87495937    Z8C-558        MUY GRAVE      3950.00      0.00       100         6
2019/09/16  52002275    C0S-417        GRAVE           316.00      0.25       100         0
2019/09/16  12270502    Y5F-449        MUY GRAVE       474.00      0.00       500         0
2019/09/17  37080813    P7E-145        LEVE            158.00      0.50         0         0
2019/09/19  49927087    G7B-252        GRAVE           316.00      0.25       100         0
2019/09/19  89314225    C3A-423        GRAVE           316.00      0.25       100         0
2019/09/20  15559308    S3L-803        GRAVE           316.00      0.25       100         0
2019/09/22  82870470    C4O-436        GRAVE           316.00      0.25       100         0
2019/09/23  35671623    V4E-749        MUY GRAVE       474.00      0.00       500         0
2019/09/23  96693273    F3R-138        MUY GRAVE       474.00      0.00       500         0
2019/09/24  89941095    P6T-244        GRAVE           316.00      0.25       200         0
2019/09/25  89941095    P6T-244        GRAVE           316.00      0.25       100         0
2019/09/25  77367073    W4W-684        GRAVE           316.00      0.25       100         0
2019/09/26  54141214    J7Y-327        MUY GRAVE       474.00      0.00       500         0
2019/09/26  38862473    I4B-541        MUY GRAVE       474.00      0.00       500         0
2019/09/26  35912665    O4X-500        MUY GRAVE         0.00      0.00      2000        12
2019/09/27  15559308    T8F-368        GRAVE           316.00      0.25       100         0
2019/09/27  63291514    Z1A-459        GRAVE           316.00      0.25       100         0
2019/09/28  69252518    Y0Y-415        MUY GRAVE      1975.00      0.00       800         3
2019/09/28  50201756    X8O-807        GRAVE           316.00      0.25       100         0
2019/09/28  90467829    C9H-661        MUY GRAVE      1975.00      0.00       600         1
2019/09/28  54447051    U5L-205        GRAVE           316.00      0.25       100         0
2019/09/28  50200823    R0P-255        GRAVE           316.00      0.25       100         0
2019/09/29  64178096    B7V-643        MUY GRAVE       474.00      0.00       500         0
2019/09/30  99950484    Y9W-731        MUY GRAVE       474.00      0.00       500         0
2019/10/01  53374153    G6I-762        MUY GRAVE      1975.00      0.00       800         3
2019/10/01  54447051    G3Y-654        GRAVE           316.00      0.25       100         0
2019/10/02  70414420    U5T-348        GRAVE           316.00      0.25       100         0
2019/10/03  88167677    V7U-622        GRAVE           316.00      0.25       100         0
2019/10/03  87282766    S1D-093        MUY GRAVE       948.00      0.00       600         1
2019/10/03  75348522    E1L-705        GRAVE           316.00      0.25       100         0
2019/10/04  64178096    I0X-469        LEVE            158.00      0.50         0         0
2019/10/04  82031355    J0J-790        MUY GRAVE      1975.00      0.00       800         3
2019/10/05  24859596    A8P-118        MUY GRAVE       474.00      0.00       500         0
2019/10/06  44188994    M0X-657        GRAVE           316.00      0.25       100         0
2019/10/07  81799482    V7P-711        MUY GRAVE       948.00      0.00       600         1
2019/10/07  34248357    U0T-459        MUY GRAVE      1975.00      0.00       800         3
